mem,bandwidth(MB/ms)
105578496,10.16
105644032,10.19
105709568,10.16
105775104,10.21
105840640,9.97
105906176,10.1
105971712,9.67
106037248,10.15
106102784,10.11
106168320,9.95
106233856,9.77
106299392,10.19
106364928,10.2
106430464,10.21
106496000,10.2
106561536,10.22
106627072,10.22
106692608,10.21
106758144,9.84
106823680,10.2
106889216,10.2
106954752,10.21
107020288,10.18
107085824,10.01
107151360,10.05
107216896,10.14
107282432,9.84
107347968,10.22
107413504,10.21
107479040,10.23
107544576,10.06
107610112,10.21
107675648,10.21
107741184,10.22
107806720,10.16
107872256,10.21
107937792,10.2
108003328,10.01
108068864,10.03
108134400,10.0
108199936,10.12
108265472,10.12
108331008,10.17
108396544,10.2
108462080,10.21
108527616,10.2
108593152,10.18
108658688,10.21
108724224,10.21
108789760,10.21
108855296,10.19
108920832,10.2
108986368,10.2
109051904,10.2
109117440,10.19
109182976,10.21
109248512,10.2
109314048,10.22
109379584,9.83
109445120,10.22
109510656,10.22
109576192,10.22
109641728,10.19
109707264,10.21
109772800,10.22
109838336,10.21
109903872,10.18
109969408,10.2
110034944,10.17
110100480,10.19
110166016,10.19
110231552,10.21
110297088,10.21
110362624,10.22
110428160,10.19
110493696,10.22
110559232,10.2
110624768,10.16
110690304,10.18
110755840,10.21
110821376,10.21
110886912,10.11
110952448,10.19
111017984,10.2
111083520,10.2
111149056,10.18
111214592,10.19
111280128,10.2
111345664,10.19
111411200,10.19
111476736,10.21
111542272,10.21
111607808,10.22
111673344,10.2
111738880,10.21
111804416,10.21
111869952,10.12
111935488,10.2
112001024,10.2
112066560,10.19
112132096,10.2
112197632,10.18
112263168,10.2
112328704,10.2
112394240,10.17
112459776,10.2
112525312,10.21
112590848,10.21
112656384,10.19
112721920,10.22
112787456,10.2
112852992,10.2
112918528,10.19
112984064,10.07
113049600,9.99
113115136,10.08
113180672,10.05
113246208,10.12
113311744,10.15
113377280,10.17
113442816,10.15
113508352,10.18
113573888,10.18
113639424,10.19
113704960,10.2
